codigo_ibge;uf;nome_municipio;codigo_servico;incidencia;aliquota;dt_ini;dt_fim
2800308;SE;Aracaju;15.06.04.000;15.06.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.06.05.000;15.06.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.06.06.000;15.06.06.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.06.07.000;15.06.07.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.06.08.000;15.06.08.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.07.01.000;15.07.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.07.02.000;15.07.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.07.03.000;15.07.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.07.04.000;15.07.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.08.01.000;15.08.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.08.02.000;15.08.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.08.03.000;15.08.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.08.04.000;15.08.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.09.01.000;15.09.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.10.01.000;15.10.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.10.02.000;15.10.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.10.03.000;15.10.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.10.04.000;15.10.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.10.05.000;15.10.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.11.01.000;15.11.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.12.01.000;15.12.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.13.01.000;15.13.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.13.02.000;15.13.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.13.03.000;15.13.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.13.04.000;15.13.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.13.05.000;15.13.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.13.06.000;15.13.06.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.14.01.000;15.14.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.14.02.000;15.14.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.14.03.000;15.14.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.15.01.000;15.15.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.15.02.000;15.15.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.16.01.000;15.16.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.16.02.000;15.16.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.17.01.000;15.17.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.17.02.000;15.17.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.17.03.000;15.17.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.18.01.000;15.18.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.18.02.000;15.18.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.18.03.000;15.18.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.18.04.000;15.18.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;15.18.05.000;15.18.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;16.01.01.000;16.01.01.000;2;2023-10-20T00:00:00;
2800308;SE;Aracaju;16.01.02.000;16.01.02.000;2;2023-10-20T00:00:00;
2800308;SE;Aracaju;16.01.03.000;16.01.03.000;2;2023-10-20T00:00:00;
2800308;SE;Aracaju;16.01.04.000;16.01.04.000;2;2023-10-20T00:00:00;
2800308;SE;Aracaju;16.02.01.000;16.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.01.01.000;17.01.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.01.02.000;17.01.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.02.01.000;17.02.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.02.02.000;17.02.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.02.03.000;17.02.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.02.04.000;17.02.04.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.02.05.000;17.02.05.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.03.01.000;17.03.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.03.02.000;17.03.02.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.03.03.000;17.03.03.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.04.01.000;17.04.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.05.01.000;17.05.01.000;5;2023-10-20T00:00:00;
2800308;SE;Aracaju;17.06.01.000;17.06.01.000;5;2023-10-20T00:00:00;
